date,ticks_window1,ticks_window2
2019-06-26,600,557
2019-06-27,581,595
2019-06-28,586,590
2019-07-01,590,581
2019-07-02,596,593
2019-07-03,578,590
2019-07-04,550,558
2019-07-05,488,554
2019-07-08,471,554
2019-07-09,486,553
2019-07-10,533,585
2019-07-11,589,578
2019-07-12,530,522
2019-07-15,475,494
2019-07-16,530,543
2019-07-17,543,595
2019-07-18,509,427
2019-07-19,547,538
2019-07-22,411,521
2019-07-23,496,455
2019-07-24,509,475
2019-07-25,373,303
2019-07-26,338,448
2019-07-29,287,521
2019-07-30,421,388
2019-07-31,425,362
2019-08-01,507,263
2019-08-02,403,419
2019-08-05,436,557
2019-08-06,396,554
2019-08-07,538,452
2019-08-08,451,447
2019-08-09,388,447
2019-08-12,398,406
2019-08-13,397,371
2019-08-14,372,490
2019-08-15,526,536
2019-08-16,570,589
2019-08-19,336,558
2019-08-20,426,476
2019-08-21,428,416
2019-08-22,473,517
2019-08-23,349,301
2019-08-26,521,485
2019-08-27,416,462
2019-08-28,381,379
2019-08-29,421,301
2019-08-30,207,252
2019-09-02,146,404
2019-09-03,371,476
2019-09-04,335,364
2019-09-05,387,409
2019-09-06,489,446
2019-09-09,308,513
2019-09-10,434,395
2019-09-11,515,414
2019-09-12,231,368
2019-09-13,373,403
2019-09-16,307,300
2019-09-17,337,262
2019-09-18,254,329
2019-09-19,459,414
2019-09-20,336,298
2019-09-23,301,301
2019-09-24,427,387
2019-09-25,536,530
2019-09-26,358,338
2019-09-27,389,412
2019-09-30,440,407
2019-10-01,378,426
2019-10-02,372,434
2019-10-03,389,285
2019-10-04,368,455
2019-10-07,442,443
2019-10-08,360,367
2019-10-09,371,476
2019-10-10,429,453
2019-10-11,554,475
2019-10-14,450,494
2019-10-15,226,380
2019-10-16,331,502
2019-10-17,305,388
2019-10-18,531,457
2019-10-21,344,369
2019-10-22,311,445
2019-10-23,386,320
2019-10-24,459,448
2019-10-25,447,405
2019-10-28,565,509
2019-10-29,578,502
2019-10-30,545,534
2019-10-31,441,474
2019-11-01,403,539
2019-11-04,301,479
2019-11-05,431,445
2019-11-06,417,357
2019-11-07,443,354
2019-11-08,420,341
2019-11-11,397,443
2019-11-12,508,321
2019-11-13,361,357
2019-11-14,421,327
2019-11-15,311,396
2019-11-18,348,422
2019-11-19,358,560
2019-11-20,344,350
2019-11-21,340,451
2019-11-22,499,533
2019-11-25,564,539
2019-11-26,579,594
2019-11-27,408,588
2019-11-28,484,464
2019-11-29,409,479
2019-12-02,495,268
2019-12-03,527,342
2019-12-04,482,319
2019-12-05,533,307
2019-12-06,359,389
2019-12-09,353,314
2019-12-10,426,295
2019-12-11,384,256
2019-12-12,245,287
2019-12-13,220,327
2019-12-16,260,491
2019-12-17,450,555
2019-12-18,464,383
2019-12-19,354,431
2019-12-20,439,295
2019-12-23,154,133
2019-12-24,314,337
2019-12-26,300,306
2019-12-27,222,584
2019-12-30,332,315
2019-12-31,387,266
2020-01-02,373,273
2020-01-03,527,431
2020-01-06,399,411
2020-01-07,299,561
2020-01-08,496,453
2020-01-09,472,515
